TransactionId,ChargePoint,Connector,MeterStart,MeterStop,ConnectedTime,ChargeTime,TotalEnergy,MaxPower,Started,Ended
2811370,AL771,AL771-1,3851610,3859330,5.6289,1.1281,7.72,11.04,11/21/2017 10:24:10,11/21/2017 16:01:54
2078590,AL641,AL641-2,911070,934700,11.2247,2.75,23.63,10.64,2/2/2017 18:59:27,2/3/2017 6:12:56
2285999,DB0249,DB0249-1,1249460,1273540,2.2886,2.2886,24.08,11.836,3/31/2017 11:07:53,3/31/2017 13:25:12
2602779,EV0017,EV0017-1,9003420,9009580,0.6122,0.6122,6.16,10.191,7/11/2017 14:06:31,7/11/2017 14:43:15
2866037,REE222,REE222-1,129740,161340,3.0492,3.0492,31.6,10.48,12/30/2017 10:13:25,12/30/2017 13:16:22
2228545,EV0114,EV0114-1,13404420,13464480,13.1475,5.4892,60.06,11.185,3/17/2017 20:20:04,3/18/2017 9:28:55
2618488,REE406,REE406-1,7445890,7500430,6.0358,6.0358,54.54,9.174,7/21/2017 9:09:57,7/21/2017 15:12:06
2753476,AL796,AL796-2,3826300,3829199,0.2858,0.2844,2.899,10.32,10/16/2017 15:43:25,10/16/2017 16:00:34
2708549,EV0212,EV0212-1,11961670,11990310,2.8925,2.8925,28.64,10.007,9/18/2017 15:06:23,9/18/2017 17:59:56
2728855,DB0301,DB0301-2,1037580,1055730,2.7589,2.6239,18.15,9.36,10/1/2017 8:07:34,10/1/2017 10:53:06
2853807,REE014,REE014-2,3410200,3421970,1.1464,1.1464,11.77,10.4,12/20/2017 15:23:34,12/20/2017 16:32:21
2406387,EV0126,EV0126-1,12693640,12733450,3.8811,3.745,39.81,11.092,4/29/2017 11:38:24,4/29/2017 15:31:16
2529331,AL299,AL299-2,480540,486649,0.6089,0.6083,6.109,10.329,6/3/2017 13:11:44,6/3/2017 13:48:16
2762285,EV0133,EV0133-1,3909610,3932860,5.7567,3.6372,23.25,9.545,10/22/2017 13:44:30,10/22/2017 19:29:54
2691524,DB0357,DB0357-1,329520,331810,0.2478,0.2478,2.29,9.272,9/7/2017 14:09:31,9/7/2017 14:24:23
2233527,AL741,AL741-1,2134870,2171360,15.2456,4.75,36.49,11.24,3/19/2017 0:29:35,3/19/2017 15:44:19
2617460,REE515,REE515-1,1151000,1191940,5.4464,3.7328,40.94,12.6,7/20/2017 15:01:03,7/20/2017 20:27:50
2252911,AL259,AL259-2,270279,276769,0.6111,0.61,6.49,10.72,3/23/2017 17:07:18,3/23/2017 17:43:58
2853413,REE213,REE213-1,1855810,1872400,1.7853,1.7853,16.59,9.48,12/20/2017 10:20:40,12/20/2017 12:07:47
2111883,AL748,AL748-2,2411729,2451090,19.5375,4.7875,39.361,10.32,2/10/2017 21:52:30,2/11/2017 17:24:45
